City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,75,US,1518558840,33,42.65,-73.75,30.2,3.36
1,rikitea,76,PF,1518560234,97,-23.12,-134.97,81.04,16.58
2,palmer,40,AU,1518557400,64,-34.85,139.16,68.0,19.46
3,butaritari,80,KI,1518560249,96,3.07,172.79,83.56,24.63
4,moron,40,VE,1518559200,54,10.49,-68.2,82.4,7.2
5,chuy,0,UY,1518560472,68,-33.69,-53.46,71.54,8.75
6,punta arenas,90,CL,1518555600,87,-53.16,-70.91,53.6,10.29
7,namatanai,36,PG,1518560890,100,-3.66,152.44,81.26,13.0
8,redmond,1,US,1518559080,42,47.67,-122.12,50.0,3.27
9,tonstad,75,NO,1518558600,80,58.66,6.71,39.2,19.46
10,price,90,US,1518558780,77,39.6,-110.81,41.0,4.7
11,vila franca do campo,40,PT,1518559200,93,37.72,-25.43,62.6,11.41
12,hamilton,75,BM,1518558900,83,32.3,-64.78,69.8,6.93
13,kilimatinde,0,TZ,1518561083,65,-5.75,34.82,68.25,8.43
14,carnarvon,88,ZA,1518560315,80,-30.97,22.13,63.49,3.94
15,daru,76,SL,1518561084,49,7.99,-10.85,85.94,7.76
16,lecce,20,IT,1518558600,76,40.36,18.17,48.2,18.34
17,yeppoon,20,AU,1518557400,74,-23.13,150.74,82.4,10.29
18,severo-kurilsk,48,RU,1518560244,100,50.68,156.12,22.49,16.35
19,mango,75,IT,1518558600,86,44.69,8.15,39.2,6.93
20,busselton,0,AU,1518560002,100,-33.64,115.35,61.42,12.44
21,san patricio,0,PY,1518560426,41,-26.98,-56.83,84.1,5.39
22,saint george,75,GR,1518558600,66,39.45,22.34,53.6,9.17
23,moose factory,90,CA,1518559740,62,51.26,-80.61,23.0,31.09
24,ternovka,92,RU,1518561087,88,51.69,41.59,13.31,11.01
25,samarai,12,PG,1518560952,100,-10.62,150.67,80.09,9.64
26,kaitangata,8,NZ,1518560267,84,-46.28,169.85,59.93,7.18
27,mar del plata,0,AR,1518560286,21,-46.43,-67.52,84.64,21.94
28,caravelas,44,BR,1518560596,100,-17.73,-39.27,80.68,13.67
29,sann,0,PK,1518559200,82,26.04,68.14,57.2,10.67
30,ushuaia,75,AR,1518555600,87,-54.81,-68.31,55.4,10.29
31,barrow,0,AR,1518560333,22,-38.31,-60.23,84.73,7.96
32,vaini,0,IN,1518560248,64,15.34,74.49,63.26,4.83
33,qaanaaq,12,GL,1518560271,85,77.48,-69.36,-20.26,4.16
34,flinders,12,AU,1518555600,88,-34.58,150.85,71.6,1.12
35,coihaique,0,CL,1518559200,32,-45.58,-72.07,73.4,11.41
36,norman wells,90,CA,1518559200,77,65.28,-126.83,1.4,3.36
37,bambous virieux,40,MU,1518559200,88,-20.34,57.76,78.8,5.84
38,mataura,12,NZ,1518560238,82,-46.19,168.86,59.8,4.05
39,neuquen,0,AR,1518555600,15,-38.95,-68.06,93.2,11.41
40,bluff,0,AU,1518560239,91,-23.58,149.07,76.49,9.98
41,sarangani,92,PH,1518561091,100,5.4,125.46,78.29,2.95
42,trelew,0,AR,1518561041,20,-43.25,-65.31,82.47,11.23
43,leningradskiy,56,RU,1518560430,84,69.38,178.42,9.22,16.69
44,port hardy,90,CA,1518559200,86,50.7,-127.42,41.0,8.05
45,puerto ayora,40,EC,1518555600,55,-0.74,-90.35,87.8,18.34
46,hobart,75,AU,1518557400,63,-42.88,147.33,62.6,12.75
47,ambilobe,0,MG,1518561092,100,-13.19,49.05,70.5,2.84
48,salinopolis,92,BR,1518560686,100,-0.61,-47.36,77.48,7.4
49,vostok,48,RU,1518560347,73,46.45,135.83,-0.82,4.94
50,ribeira grande,40,PT,1518555600,88,38.52,-28.7,62.6,16.11
51,port alfred,92,ZA,1518560303,95,-33.59,26.89,71.32,16.35
52,kroya,80,ID,1518560528,97,-6.5,108.06,72.31,3.38
53,omsukchan,88,RU,1518561094,80,62.53,155.8,3.86,11.68
54,saint-augustin,80,FR,1518559200,93,44.83,-0.61,46.4,3.36
55,santa vitoria do palmar,0,BR,1518561095,77,-33.52,-53.37,61.91,7.99
56,marsh harbour,0,BS,1518560075,95,26.54,-77.06,76.58,14.34
57,port augusta,0,AU,1518559200,68,-32.49,137.76,71.6,11.41
58,turayf,0,SA,1518555600,93,31.68,38.65,42.8,4.7
59,jamestown,0,AU,1518560241,73,-33.21,138.6,60.52,9.75
60,muros,90,ES,1518559200,93,42.77,-9.06,50.0,11.41
61,tuatapere,76,NZ,1518560308,100,-46.13,167.69,55.79,6.73
62,diapaga,0,BF,1518561097,44,12.07,1.79,66.86,3.74
63,sengiley,56,RU,1518559200,84,53.96,48.79,3.2,2.24
64,amahai,68,ID,1518561098,100,-3.31,129.0,82.7,7.65
65,arraial do cabo,40,BR,1518555600,88,-22.97,-42.02,78.8,6.93
66,alice town,44,BS,1518561099,100,25.72,-79.3,75.09,9.66
67,lorengau,88,PG,1518560395,100,-2.02,147.27,79.33,12.44
68,iracoubo,92,GF,1518560615,80,5.48,-53.21,76.99,4.61
69,isangel,90,VU,1518559200,100,-19.55,169.27,78.8,13.87
70,saskylakh,68,RU,1518560280,70,71.97,114.09,-9.91,7.96
71,praia da vitoria,20,PT,1518559200,88,38.73,-27.07,62.6,20.49
72,veraval,90,FR,1518559200,97,49.65,0.71,42.8,8.05
73,placido de castro,48,BR,1518561101,97,-10.34,-67.19,73.97,2.39
74,ceuta,36,MX,1518561101,28,23.9,-106.93,86.12,3.18
75,haines junction,12,CA,1518561102,85,60.75,-137.51,17.81,3.29
76,coos bay,1,US,1518560100,53,43.37,-124.22,51.8,12.75
77,hilo,1,US,1518555360,58,19.71,-155.08,82.4,12.75
78,two rivers,90,US,1518558960,74,44.15,-87.57,30.2,19.46
79,provideniya,90,RU,1518557400,93,64.42,-173.23,32.0,20.13
80,itaituba,20,BR,1518555600,62,-4.26,-55.99,89.6,3.36
81,rio grande,0,BR,1518560834,78,-32.03,-52.1,73.75,11.77
82,naron,20,ES,1518559200,81,43.52,-8.15,53.6,8.05
83,bredasdorp,48,ZA,1518560316,91,-34.53,20.04,70.24,20.49
84,narsaq,36,GL,1518558600,54,60.91,-46.05,5.0,4.7
85,atuona,0,PF,1518560270,100,-9.8,-139.03,80.86,16.8
86,airai,76,TL,1518560449,95,-8.93,125.41,69.11,1.14
87,lebu,0,ET,1518560338,55,8.96,38.73,56.92,8.75
88,qaqortoq,24,GL,1518558600,54,60.72,-46.03,5.0,4.7
89,dikson,76,RU,1518560229,89,73.51,80.55,18.58,6.62
90,vytegra,20,RU,1518561105,75,61.01,36.45,10.25,9.89
91,lufkin,90,US,1518558960,100,31.34,-94.73,46.4,4.7
92,burnie,48,AU,1518561089,100,-41.05,145.91,59.39,33.38
93,ancud,0,CL,1518560506,62,-41.87,-73.83,71.63,2.59
94,mezen,92,RU,1518560914,85,65.85,44.24,21.14,4.16
95,lasa,75,CY,1518559200,63,34.92,32.53,60.8,11.41
96,garissa,0,KE,1518560573,69,-0.46,39.64,80.09,10.2
97,te anau,32,NZ,1518560672,90,-45.41,167.72,51.16,3.71
98,nikolskoye,75,RU,1518557400,73,59.7,30.79,23.0,4.47
99,batsfjord,75,NO,1518558600,85,70.63,29.72,24.8,27.51
100,idritsa,76,RU,1518561108,86,56.33,28.9,18.12,7.09
101,mahebourg,20,MU,1518560334,90,-20.41,57.7,79.42,5.84
102,porto walter,64,BR,1518561109,83,-8.27,-72.74,79.59,3.96
103,quatre cocos,40,MU,1518559200,88,-20.21,57.76,78.8,5.84
104,bandarbeyla,92,SO,1518560671,100,9.49,50.81,74.06,9.08
105,kapaa,75,US,1518555360,83,22.08,-159.32,75.2,9.17
106,poya,80,NC,1518561110,100,-21.35,165.16,75.77,14.47
107,thaton,48,MM,1518561110,100,16.91,97.37,76.89,5.86
108,new norfolk,75,AU,1518557400,63,-42.78,147.06,62.6,12.75
109,san carlos,44,VE,1518560818,33,9.66,-68.59,90.94,6.29
110,san julian,20,SV,1518558600,27,13.7,-89.56,100.4,10.29
111,san miguel de cauri,92,PE,1518561111,100,-10.1,-76.58,43.64,2.28
112,santa cruz,1,US,1518558960,29,36.97,-122.03,66.2,4.7
113,hithadhoo,88,MV,1518560321,100,-0.6,73.08,83.02,7.52
114,yellowknife,75,CA,1518559200,57,62.45,-114.38,-7.61,14.99
115,portland,20,US,1518558960,34,45.52,-122.67,50.0,3.36
116,taoudenni,32,ML,1518561113,19,22.68,-3.98,54.26,10.0
117,vao,88,EE,1518560375,95,59.1,26.19,27.94,6.62
118,lyuban,88,BY,1518561113,90,52.8,28.0,19.47,5.86
119,bonavista,8,CA,1518561114,100,48.65,-53.11,13.8,26.89
120,saldanha,92,PT,1518560365,98,41.42,-6.55,45.26,10.76
121,hermanus,24,ZA,1518560279,82,-34.42,19.24,70.24,3.71
122,berlevag,0,NO,1518558600,73,70.86,29.09,23.0,31.09
123,alanya,8,TR,1518561115,100,36.55,32.0,49.04,4.74
124,avarua,40,CK,1518559200,65,-21.21,-159.78,78.8,9.17
125,ossora,76,RU,1518560829,84,59.24,163.07,16.19,3.71
126,cap malheureux,40,MU,1518559200,88,-19.98,57.61,78.8,8.86
127,sorong,32,ID,1518561069,100,-0.86,131.25,80.49,10.45
128,sisimiut,24,GL,1518560538,47,66.94,-53.67,-30.21,1.03
129,aklavik,5,CA,1518559200,61,68.22,-135.01,-22.01,9.17
130,plettenberg bay,56,ZA,1518561118,90,-34.05,23.37,70.14,17.6
131,chokurdakh,80,RU,1518560259,71,70.62,147.9,-5.86,8.3
132,pravokumskoye,92,RU,1518561118,96,44.77,44.65,23.12,3.85
133,kahului,40,US,1518557100,78,20.89,-156.47,80.6,10.29
134,nakasongola,12,UG,1518561119,65,1.32,32.46,70.28,9.44
135,kamojima,20,JP,1518559200,79,34.07,134.35,28.4,9.17
136,pauini,92,BR,1518560821,100,-7.71,-67.0,73.39,1.7
137,yerbogachen,64,RU,1518560792,75,61.28,108.01,-7.62,5.17
138,nome,90,US,1518558900,93,30.04,-94.42,53.6,6.96
139,leh,44,IN,1518561120,68,34.16,77.58,-15.32,1.83
140,tuktoyaktuk,5,CA,1518559200,67,69.44,-133.03,-25.61,2.24
141,oxford,75,US,1518558960,72,33.61,-85.83,62.6,9.17
142,iqaluit,90,CA,1518559200,67,63.75,-68.52,-25.61,11.41
143,wattegama,36,LK,1518561122,91,7.35,80.68,61.5,2.73
144,san felipe,0,CL,1518559200,36,-32.75,-70.73,80.6,17.22
145,sile,1,US,1518560100,25,35.56,-106.37,59.0,16.11
146,coxim,92,BR,1518561124,87,-18.5,-54.75,76.17,7.2
147,guerrero negro,32,MX,1518560301,57,27.97,-114.04,69.7,6.4
148,kem,0,UG,1518561125,58,2.68,33.77,71.27,9.1
149,toppenish,1,US,1518558780,33,46.38,-120.31,42.8,3.36
150,ostersund,0,SE,1518558600,85,63.18,14.64,19.4,9.17
151,bar harbor,1,US,1518558960,35,44.39,-68.2,23.0,8.43
152,sao filipe,36,CV,1518560280,95,14.9,-24.5,70.19,14.12
153,talnakh,36,RU,1518560665,73,69.49,88.39,-6.31,5.5
154,thompson,90,CA,1518559200,78,55.74,-97.86,14.0,8.05
155,cape town,40,ZA,1518555600,88,-33.93,18.42,69.8,13.87
156,riyadh,24,SA,1518555600,12,24.63,46.72,71.6,4.7
157,porirua,56,NZ,1518559200,68,-41.14,174.84,71.6,12.75
158,viedma,0,AR,1518561128,24,-40.81,-62.99,81.17,13.69
159,upernavik,0,GL,1518560261,100,72.79,-56.15,-4.69,8.75
160,klaksvik,0,FO,1518558600,92,62.23,-6.59,30.2,1.12
161,katsuura,20,JP,1518556800,79,33.93,134.5,28.4,8.05
162,abu samrah,8,SY,1518561129,83,35.3,37.18,48.59,12.01
163,camacha,20,PT,1518559200,67,33.08,-16.33,59.0,8.05
